model,experiment,task_type,seed,best_epoch,test_loss,test_metric,metric_name
ctgru,cheetah,regression,1,00000026,3.25803804,0.82359803,mae
ctgru,cheetah,regression,2,00000035,3.00435424,0.78317434,mae
ctgru,cheetah,regression,3,00000028,3.17968893,0.81518853,mae
ctgru,cheetah,regression,4,00000038,2.91459703,0.76824760,mae
ctgru,cheetah,regression,5,00000032,3.07323670,0.79675657,mae
ctgru,gesture,classification,1,091,1.07,70.10,accuracy
ctgru,gesture,classification,2,105,1.38,66.91,accuracy
ctgru,gesture,classification,3,143,1.42,68.40,accuracy
ctgru,gesture,classification,4,169,1.66,67.53,accuracy
ctgru,gesture,classification,5,127,1.39,65.49,accuracy
ctgru,har,classification,5,176,0.13,96.85,accuracy
ctgru,occupancy,classification,1,173,0.42,91.58,accuracy
ctgru,occupancy,classification,2,188,0.54,90.71,accuracy
ctgru,occupancy,classification,3,198,0.49,91.66,accuracy
ctgru,occupancy,classification,4,148,0.37,92.21,accuracy
ctgru,occupancy,classification,5,198,0.50,91.22,accuracy
ctgru,ozone_fixed,classification,1,00000046,0.14421576,0.26778200,accuracy
ctgru,ozone_fixed,classification,2,00000193,0.13314322,0.31394035,accuracy
ctgru,ozone_fixed,classification,3,00000069,0.14615583,0.24429919,accuracy
ctgru,ozone_fixed,classification,4,00000197,0.11201586,0.29647800,accuracy
ctgru,ozone_fixed,classification,5,00000190,0.12193694,0.33519515,accuracy
ctgru,person,classification,1,189,0.47,84.39,accuracy
ctgru,person,classification,2,156,0.44,85.31,accuracy
ctgru,person,classification,3,189,0.47,84.91,accuracy
ctgru,person,classification,4,170,0.45,84.75,accuracy
ctgru,person,classification,5,188,0.47,84.66,accuracy
ctgru,power,regression,1,00000195,0.00055361,0.01531281,mae
ctgru,power,regression,2,00000193,0.00056568,0.01548713,mae
ctgru,power,regression,3,00000199,0.00056033,0.01540066,mae
ctgru,power,regression,4,00000191,0.00056365,0.01535076,mae
ctgru,power,regression,5,00000184,0.00055422,0.01536363,mae
ctgru,smnist,classification,1,165,0.09,98.10,accuracy
ctgru,smnist,classification,2,166,0.10,97.97,accuracy
ctgru,smnist,classification,3,097,0.08,98.27,accuracy
ctgru,smnist,classification,4,184,0.12,97.78,accuracy
ctgru,smnist,classification,5,152,0.10,98.10,accuracy
ctgru,traffic,regression,1,00000199,0.08003801,0.20134221,mae
ctgru,traffic,regression,2,00000194,0.07647076,0.19472632,mae
ctgru,traffic,regression,3,00000197,0.06267245,0.17316113,mae
ctgru,traffic,regression,4,00000193,0.07699864,0.19688201,mae
ctgru,traffic,regression,5,00000193,0.06799937,0.18144731,mae
ctrnn,cheetah,regression,1,00000075,2.72869134,0.74717534,mae
ctrnn,cheetah,regression,2,00000093,2.60126209,0.72014135,mae
ctrnn,cheetah,regression,3,00000045,3.17821193,0.83136052,mae
ctrnn,cheetah,regression,4,00000033,3.56922007,0.89161819,mae
ctrnn,cheetah,regression,5,00000186,2.34199476,0.65312797,mae
ctrnn,gesture,classification,1,056,1.11,57.95,accuracy
ctrnn,gesture,classification,2,114,1.31,57.74,accuracy
ctrnn,gesture,classification,3,171,1.29,59.10,accuracy
ctrnn,gesture,classification,4,199,1.30,60.24,accuracy
ctrnn,gesture,classification,5,126,1.12,57.92,accuracy
ctrnn,har,classification,1,134,0.17,96.46,accuracy
ctrnn,har,classification,2,168,0.13,96.78,accuracy
ctrnn,har,classification,3,172,0.17,96.20,accuracy
ctrnn,har,classification,4,162,0.12,97.26,accuracy
ctrnn,occupancy,classification,1,152,0.42,89.96,accuracy
ctrnn,occupancy,classification,2,194,0.65,89.31,accuracy
ctrnn,occupancy,classification,3,178,0.20,95.11,accuracy
ctrnn,occupancy,classification,4,179,0.50,86.31,accuracy
ctrnn,occupancy,classification,5,161,0.17,94.20,accuracy
ctrnn,ozone_fixed,classification,1,00000192,0.13432932,0.30681780,accuracy
ctrnn,ozone_fixed,classification,2,00000178,0.13064925,0.28776941,accuracy
ctrnn,ozone_fixed,classification,3,00000091,0.14055513,0.27461097,accuracy
ctrnn,ozone_fixed,classification,4,00000170,0.13098182,0.31357983,accuracy
ctrnn,ozone_fixed,classification,5,00000171,0.13416448,0.29810861,accuracy
ctrnn,person,classification,1,188,0.58,79.71,accuracy
ctrnn,person,classification,2,189,0.56,80.53,accuracy
ctrnn,person,classification,3,195,0.58,79.22,accuracy
ctrnn,person,classification,4,190,0.56,80.11,accuracy
ctrnn,person,classification,5,197,0.58,79.24,accuracy
ctrnn,power,regression,1,00000195,0.00068752,0.01670100,mae
ctrnn,power,regression,2,00000185,0.00068925,0.01710248,mae
ctrnn,power,regression,3,00000191,0.00069490,0.01705316,mae
ctrnn,power,regression,4,00000195,0.00068144,0.01688931,mae
ctrnn,power,regression,5,00000197,0.00070641,0.01713453,mae
ctrnn,smnist,classification,1,183,0.09,97.52,accuracy
ctrnn,smnist,classification,2,192,0.10,97.06,accuracy
ctrnn,smnist,classification,3,171,0.09,97.54,accuracy
ctrnn,smnist,classification,4,186,0.08,97.77,accuracy
ctrnn,smnist,classification,5,195,0.10,97.31,accuracy
ctrnn,traffic,regression,1,00000198,0.08316187,0.18810388,mae
ctrnn,traffic,regression,2,00000198,0.08447925,0.18839441,mae
ctrnn,traffic,regression,3,00000198,0.08889532,0.19813177,mae
ctrnn,traffic,regression,4,00000198,0.08104245,0.18704072,mae
