model,experiment,task_type,seed,best_epoch,test_loss,test_metric,metric_name
srnn-E-only,har,classification,4,229,0.17,96.73,accuracy
srnn-E-only,har,classification,5,193,0.17,95.98,accuracy
srnn-E-only,occupancy,classification,1,253,0.46,91.25,accuracy
srnn-E-only,occupancy,classification,2,257,0.17,97.06,accuracy
srnn-E-only,occupancy,classification,3,292,0.44,92.54,accuracy
srnn-E-only,occupancy,classification,4,269,0.44,90.82,accuracy
srnn-E-only,occupancy,classification,5,226,0.19,94.64,accuracy
srnn-e-only-echo,gesture,classification,1,053,1.14,55.90,accuracy
srnn-e-only-echo,gesture,classification,2,107,1.13,57.08,accuracy
srnn-e-only-echo,gesture,classification,3,045,1.14,55.62,accuracy
srnn-e-only-echo,gesture,classification,4,044,1.12,55.90,accuracy
srnn-e-only-echo,gesture,classification,5,145,1.14,56.01,accuracy
srnn-e-only-echo,har,classification,1,286,0.29,92.98,accuracy
srnn-e-only-echo,har,classification,2,284,0.24,93.68,accuracy
srnn-e-only-echo,har,classification,3,283,0.26,93.89,accuracy
srnn-e-only-echo,har,classification,4,293,0.33,92.95,accuracy
srnn-e-only-echo,har,classification,5,167,0.22,94.94,accuracy
srnn-e-only-echo,occupancy,classification,1,263,0.90,89.29,accuracy
srnn-e-only-echo,occupancy,classification,2,209,0.30,91.07,accuracy
srnn-e-only-echo,occupancy,classification,3,246,0.29,93.39,accuracy
srnn-e-only-echo,occupancy,classification,4,258,0.23,93.87,accuracy
srnn-e-only-echo,occupancy,classification,5,234,0.24,92.82,accuracy
srnn-e-only-per-neuron,gesture,classification,1,233,1.63,57.53,accuracy
srnn-e-only-per-neuron,gesture,classification,2,073,1.25,58.16,accuracy
srnn-e-only-per-neuron,gesture,classification,3,041,1.10,57.36,accuracy
srnn-e-only-per-neuron,gesture,classification,4,214,1.68,57.33,accuracy
srnn-e-only-per-neuron,gesture,classification,5,081,1.36,56.81,accuracy
srnn-e-only-per-neuron,har,classification,1,272,0.22,95.95,accuracy
srnn-e-only-per-neuron,har,classification,2,197,0.21,96.47,accuracy
srnn-e-only-per-neuron,har,classification,3,155,0.13,96.70,accuracy
srnn-e-only-per-neuron,har,classification,4,161,0.13,96.95,accuracy
srnn-e-only-per-neuron,har,classification,5,145,0.13,97.07,accuracy
srnn-e-only-per-neuron,occupancy,classification,1,248,0.33,91.55,accuracy
srnn-e-only-per-neuron,occupancy,classification,2,109,0.17,94.80,accuracy
srnn-e-only-per-neuron,occupancy,classification,3,212,0.41,94.56,accuracy
srnn-e-only-per-neuron,occupancy,classification,4,273,0.24,94.47,accuracy
srnn-e-only-per-neuron,occupancy,classification,5,275,0.50,93.30,accuracy
srnn-echo,gesture,classification,1,158,1.12,56.70,accuracy
srnn-echo,gesture,classification,2,158,1.15,55.03,accuracy
srnn-echo,gesture,classification,3,242,1.12,56.84,accuracy
srnn-echo,gesture,classification,4,212,1.13,57.01,accuracy
srnn-echo,gesture,classification,5,212,1.13,56.18,accuracy
srnn-echo,har,classification,1,276,0.32,95.33,accuracy
srnn-echo,har,classification,2,282,0.30,95.21,accuracy
srnn-echo,har,classification,3,283,0.32,94.93,accuracy
srnn-echo,har,classification,4,271,0.31,93.99,accuracy
srnn-echo,har,classification,5,282,0.30,94.84,accuracy
srnn-echo,occupancy,classification,1,129,0.11,98.27,accuracy
srnn-echo,occupancy,classification,2,244,0.12,95.78,accuracy
srnn-echo,occupancy,classification,3,170,0.21,92.35,accuracy
srnn-echo,occupancy,classification,4,149,0.17,94.56,accuracy
srnn-echo,occupancy,classification,5,256,0.22,93.13,accuracy
srnn-no-adapt,gesture,classification,1,042,1.16,55.14,accuracy
srnn-no-adapt,gesture,classification,2,109,1.19,60.10,accuracy
srnn-no-adapt,gesture,classification,3,114,1.35,56.67,accuracy
srnn-no-adapt,gesture,classification,4,281,1.27,58.51,accuracy
srnn-no-adapt,gesture,classification,5,127,1.37,58.13,accuracy
srnn-no-adapt,har,classification,1,278,0.19,96.46,accuracy
srnn-no-adapt,har,classification,2,251,0.22,96.13,accuracy
srnn-no-adapt,har,classification,3,270,0.18,96.49,accuracy
srnn-no-adapt,har,classification,4,080,0.13,96.44,accuracy
srnn-no-adapt,har,classification,5,102,0.18,95.98,accuracy
srnn-no-adapt,occupancy,classification,1,215,0.32,94.88,accuracy
srnn-no-adapt,occupancy,classification,2,206,0.73,90.70,accuracy
srnn-no-adapt,occupancy,classification,3,241,0.42,90.57,accuracy
srnn-no-adapt,occupancy,classification,4,297,0.27,94.00,accuracy
srnn-no-adapt,occupancy,classification,5,281,0.29,95.07,accuracy
srnn-no-adapt-no-dales,gesture,classification,1,173,1.20,57.81,accuracy
srnn-no-adapt-no-dales,gesture,classification,2,040,1.08,58.89,accuracy
srnn-no-adapt-no-dales,gesture,classification,3,060,1.13,56.53,accuracy
srnn-no-adapt-no-dales,gesture,classification,4,155,1.27,60.83,accuracy
srnn-no-adapt-no-dales,gesture,classification,5,221,1.58,56.53,accuracy
srnn-no-adapt-no-dales,har,classification,1,254,0.17,95.96,accuracy
srnn-no-adapt-no-dales,har,classification,2,285,0.23,96.30,accuracy
srnn-no-adapt-no-dales,har,classification,3,191,0.14,96.99,accuracy
srnn-no-adapt-no-dales,har,classification,4,254,0.18,96.53,accuracy
srnn-no-adapt-no-dales,har,classification,5,224,0.15,96.63,accuracy
srnn-no-adapt-no-dales,occupancy,classification,1,291,0.33,90.64,accuracy
srnn-no-adapt-no-dales,occupancy,classification,2,282,0.19,96.10,accuracy
srnn-no-adapt-no-dales,occupancy,classification,3,289,0.25,94.56,accuracy
srnn-no-adapt-no-dales,occupancy,classification,4,165,0.27,94.42,accuracy
srnn-no-adapt-no-dales,occupancy,classification,5,286,0.23,94.27,accuracy
srnn-per-neuron,gesture,classification,1,068,1.09,58.47,accuracy
srnn-per-neuron,gesture,classification,2,093,1.23,57.08,accuracy
srnn-per-neuron,gesture,classification,3,114,1.36,58.96,accuracy
srnn-per-neuron,gesture,classification,4,066,1.17,56.39,accuracy
srnn-per-neuron,gesture,classification,5,067,1.11,57.29,accuracy
srnn-per-neuron,har,classification,1,158,0.18,96.07,accuracy
srnn-per-neuron,har,classification,2,295,0.17,96.65,accuracy
srnn-per-neuron,har,classification,3,243,0.16,96.80,accuracy
srnn-per-neuron,har,classification,4,198,0.21,95.90,accuracy
srnn-per-neuron,har,classification,5,267,0.19,95.81,accuracy
srnn-per-neuron,occupancy,classification,1,255,0.27,92.83,accuracy
srnn-per-neuron,occupancy,classification,2,212,0.15,94.70,accuracy
srnn-per-neuron,occupancy,classification,3,214,0.41,92.58,accuracy
srnn-per-neuron,occupancy,classification,4,213,0.32,93.47,accuracy
srnn-per-neuron,occupancy,classification,5,247,0.28,95.01,accuracy
srnn-sfa-only,gesture,classification,1,234,1.25,58.85,accuracy
srnn-sfa-only,gesture,classification,2,060,1.18,56.67,accuracy
srnn-sfa-only,gesture,classification,3,086,1.23,58.89,accuracy
srnn-sfa-only,gesture,classification,4,168,1.39,58.61,accuracy
srnn-sfa-only,gesture,classification,5,128,1.23,60.49,accuracy
srnn-sfa-only,har,classification,1,227,0.17,96.07,accuracy
srnn-sfa-only,har,classification,2,189,0.16,96.58,accuracy
srnn-sfa-only,har,classification,3,095,0.19,95.47,accuracy
srnn-sfa-only,har,classification,4,285,0.13,96.97,accuracy
srnn-sfa-only,har,classification,5,102,0.19,95.57,accuracy
srnn-sfa-only,occupancy,classification,1,105,0.13,95.66,accuracy
srnn-sfa-only,occupancy,classification,2,253,0.24,94.25,accuracy
srnn-sfa-only,occupancy,classification,3,284,0.18,94.26,accuracy
srnn-sfa-only,occupancy,classification,4,294,0.19,94.77,accuracy
srnn-sfa-only,occupancy,classification,5,147,0.20,93.92,accuracy
srnn-std-only,gesture,classification,1,066,1.14,57.88,accuracy
srnn-std-only,gesture,classification,2,244,1.48,60.83,accuracy
srnn-std-only,gesture,classification,3,033,1.10,57.12,accuracy
srnn-std-only,gesture,classification,4,053,1.15,55.24,accuracy
srnn-std-only,gesture,classification,5,069,1.22,55.17,accuracy
srnn-std-only,har,classification,1,158,0.18,96.10,accuracy
srnn-std-only,har,classification,2,234,0.15,96.97,accuracy
srnn-std-only,har,classification,3,251,0.20,96.34,accuracy
srnn-std-only,har,classification,4,237,0.17,96.42,accuracy
srnn-std-only,har,classification,5,228,0.23,95.93,accuracy
srnn-std-only,occupancy,classification,1,130,0.16,94.54,accuracy
srnn-std-only,occupancy,classification,2,183,0.28,94.96,accuracy
srnn-std-only,occupancy,classification,3,283,0.40,92.61,accuracy
srnn-std-only,occupancy,classification,4,249,0.19,94.91,accuracy
srnn-std-only,occupancy,classification,5,170,0.35,91.99,accuracy
