model,experiment,task_type,seed,best_epoch,test_loss,test_metric,metric_name
srnn-echo,person,classification,1,044,1.03,62.56,accuracy
srnn-echo,power,regression,1,00000049,0.09615456,0.15861750,mae
srnn-echo,smnist,classification,1,042,0.77,74.61,accuracy
srnn-echo,traffic,regression,1,00000049,0.34419122,0.45197541,mae
srnn-no-adapt,cheetah,regression,1,00000038,2.45924449,0.68098056,mae
srnn-no-adapt,gesture,classification,1,032,1.16,56.22,accuracy
srnn-no-adapt,har,classification,1,048,0.12,96.83,accuracy
srnn-no-adapt,occupancy,classification,1,042,0.10,95.09,accuracy
srnn-no-adapt,ozone_fixed,classification,1,00000022,0.14857887,0.14479624,accuracy
srnn-no-adapt,person,classification,1,048,0.68,75.84,accuracy
srnn-no-adapt,power,regression,1,00000049,0.00072159,0.01727392,mae
srnn-no-adapt,smnist,classification,1,048,0.12,96.12,accuracy
srnn-no-adapt,traffic,regression,1,00000048,0.07934982,0.17717467,mae
srnn-no-adapt-no-dales,cheetah,regression,1,00000046,2.31242990,0.64559323,mae
srnn-no-adapt-no-dales,gesture,classification,1,047,1.19,58.82,accuracy
srnn-no-adapt-no-dales,har,classification,1,043,0.11,96.90,accuracy
srnn-no-adapt-no-dales,occupancy,classification,1,032,0.09,96.64,accuracy
srnn-no-adapt-no-dales,ozone_fixed,classification,1,00000011,0.14891748,0.14505479,accuracy
srnn-no-adapt-no-dales,person,classification,1,048,0.64,77.37,accuracy
srnn-no-adapt-no-dales,power,regression,1,00000049,0.00067027,0.01663047,mae
srnn-no-adapt-no-dales,smnist,classification,1,049,0.11,96.84,accuracy
srnn-no-adapt-no-dales,traffic,regression,1,00000048,0.07591572,0.17652145,mae
srnn-per-neuron,cheetah,regression,1,00000040,2.50353813,0.69276148,mae
srnn-per-neuron,gesture,classification,1,028,1.12,57.40,accuracy
srnn-per-neuron,har,classification,1,021,0.11,97.14,accuracy
srnn-per-neuron,occupancy,classification,1,043,0.11,93.22,accuracy
srnn-per-neuron,ozone_fixed,classification,1,00000012,0.14919661,0.15290502,accuracy
srnn-per-neuron,person,classification,1,049,0.81,69.83,accuracy
srnn-per-neuron,power,regression,1,00000048,0.00069090,0.01704603,mae
srnn-per-neuron,smnist,classification,1,047,0.13,96.39,accuracy
srnn-per-neuron,traffic,regression,1,00000048,0.09842509,0.21064095,mae
srnn-sfa-only,cheetah,regression,1,00000023,2.77114987,0.75494641,mae
srnn-sfa-only,gesture,classification,1,023,1.14,57.19,accuracy
srnn-sfa-only,har,classification,1,045,0.11,97.09,accuracy
srnn-sfa-only,occupancy,classification,1,045,0.13,93.97,accuracy
srnn-sfa-only,ozone_fixed,classification,1,00000039,0.15016137,0.14345960,accuracy
srnn-sfa-only,person,classification,1,048,0.61,78.47,accuracy
srnn-sfa-only,power,regression,1,00000049,0.00070489,0.01723576,mae
srnn-sfa-only,smnist,classification,1,047,0.13,96.24,accuracy
srnn-sfa-only,traffic,regression,1,00000049,0.08147500,0.18768936,mae
srnn-std-only,cheetah,regression,1,00000026,2.75131965,0.74843085,mae
srnn-std-only,gesture,classification,1,019,1.11,56.46,accuracy
srnn-std-only,har,classification,1,047,0.14,96.42,accuracy
srnn-std-only,occupancy,classification,1,045,0.13,94.73,accuracy
srnn-std-only,ozone_fixed,classification,1,00000033,0.14947586,0.14642140,accuracy
srnn-std-only,person,classification,1,034,0.86,68.39,accuracy
srnn-std-only,power,regression,1,00000049,0.00074676,0.01740676,mae
srnn-std-only,smnist,classification,1,048,0.14,95.65,accuracy
srnn-std-only,traffic,regression,1,00000046,0.08584954,0.19095665,mae
