model,experiment,task_type,seed,best_epoch,test_loss,test_metric,metric_name
srnn-echo,smnist,classification,1,049,1.13,62.27,accuracy
srnn-echo,traffic,regression,1,00000049,0.49109262,0.55591762,mae
srnn-no-adapt,cheetah,regression,1,00000049,4.04678965,0.96277857,mae
srnn-no-adapt,gesture,classification,1,040,1.15,54.83,accuracy
srnn-no-adapt,har,classification,1,047,0.14,95.25,accuracy
srnn-no-adapt,occupancy,classification,1,045,0.05,98.81,accuracy
srnn-no-adapt,ozone_fixed,classification,1,00000039,0.14877138,0.18985239,accuracy
srnn-no-adapt,person,classification,1,046,0.98,63.42,accuracy
srnn-no-adapt,power,regression,1,00000048,0.00105501,0.02012767,mae
srnn-no-adapt,smnist,classification,1,047,0.56,82.72,accuracy
srnn-no-adapt,traffic,regression,1,00000048,0.17205326,0.30112979,mae
srnn-no-adapt-no-dales,cheetah,regression,1,00000049,3.92710042,0.95115602,mae
srnn-no-adapt-no-dales,gesture,classification,1,040,1.21,51.22,accuracy
srnn-no-adapt-no-dales,har,classification,1,048,0.15,94.93,accuracy
srnn-no-adapt-no-dales,occupancy,classification,1,043,0.07,98.20,accuracy
srnn-no-adapt-no-dales,ozone_fixed,classification,1,00000031,0.15086311,0.14069226,accuracy
srnn-no-adapt-no-dales,person,classification,1,049,0.92,65.81,accuracy
srnn-no-adapt-no-dales,power,regression,1,00000049,0.00095800,0.01893659,mae
srnn-no-adapt-no-dales,smnist,classification,1,047,0.33,89.85,accuracy
srnn-no-adapt-no-dales,traffic,regression,1,00000049,0.15979320,0.29138869,mae
srnn-per-neuron,cheetah,regression,1,00000049,6.29866695,1.24815416,mae
srnn-per-neuron,gesture,classification,1,046,1.29,49.10,accuracy
srnn-per-neuron,har,classification,1,049,0.47,94.29,accuracy
srnn-per-neuron,occupancy,classification,1,048,0.10,97.38,accuracy
srnn-per-neuron,person,classification,1,045,1.19,56.51,accuracy
srnn-per-neuron,power,regression,1,00000049,0.00104557,0.01982077,mae
srnn-per-neuron,smnist,classification,1,049,0.40,87.72,accuracy
srnn-per-neuron,traffic,regression,1,00000049,0.23168363,0.35900250,mae
srnn-sfa-only,cheetah,regression,1,00000049,4.10831642,0.96951139,mae
srnn-sfa-only,gesture,classification,1,037,1.18,52.81,accuracy
srnn-sfa-only,har,classification,1,047,0.15,95.47,accuracy
srnn-sfa-only,occupancy,classification,1,049,0.08,96.98,accuracy
srnn-sfa-only,ozone_fixed,classification,1,00000044,0.14853537,0.14195789,accuracy
srnn-sfa-only,person,classification,1,048,1.01,63.31,accuracy
srnn-sfa-only,power,regression,1,00000049,0.00106013,0.01982097,mae
srnn-sfa-only,smnist,classification,1,047,0.38,88.49,accuracy
srnn-sfa-only,traffic,regression,1,00000048,0.17867444,0.31150782,mae
srnn-std-only,cheetah,regression,1,00000049,5.10728884,1.11199999,mae
srnn-std-only,gesture,classification,1,043,1.19,53.61,accuracy
srnn-std-only,har,classification,1,048,0.16,95.45,accuracy
srnn-std-only,occupancy,classification,1,046,0.08,97.03,accuracy
srnn-std-only,ozone_fixed,classification,1,00000043,0.14857472,0.14452040,accuracy
srnn-std-only,person,classification,1,048,0.99,63.49,accuracy
srnn-std-only,power,regression,1,00000049,0.00102673,0.01942046,mae
srnn-std-only,smnist,classification,1,046,0.35,89.21,accuracy
srnn-std-only,traffic,regression,1,00000049,0.18465273,0.32298464,mae
